time,AktpT308,AktpS473,PRAS40pT246,PRAS40pS183,S6KpT389,S6KpT229,TSC2pT1462,IRS1pS636_639,FourEBP1pT37_46,GAPDH,Coomassie_staining,ERKpT202_Y204,p38_pT180_Y182,ER_alpha,AktpT308_indep,AktpS473_indep,PRAS40pT246_indep,PRAS40pS183_indep,S6KpT389_indep,S6KpT229_indep,TSC2pT1462_indep,IRS1pS636_639_indep,FourEBP1pT37_46_indep,GAPDH_indep,Coomassie_staining_indep,ERKpT202_Y204_indep,p38_pT180_Y182_indep,ER_alpha_indep,Insulin_indep,AA_indep
0,0.5535671560092869,0.46913355171619897,0.2819673354013301,0.5074349404243843,0.43017398706760596,0.4117717250093394,0.5648032397680022,0.6358214872329411,0.24050006601864873,0.8388969872590909,1.0,0.30383987446879007,0.2991174397440612,1.7116215077989403,0.5535671560092869,0.46913355171619897,0.2819673354013301,0.5074349404243843,0.43017398706760596,0.4117717250093394,0.5648032397680022,0.6358214872329411,0.24050006601864873,0.8388969872590909,1.0,0.30383987446879007,0.2991174397440612,1.7116215077989403,1,1
15,0.983758984695419,1.216512954107524,0.9784187525011172,1.1159036119462629,1.0717259071374012,1.284847154043758,1.2686544132341728,1.8367844154492288,0.5854548663097001,0.8801438780291151,1.0,1.895775885393424,0.43128369354080903,1.5407317399111682,0.5535671560092869,0.46913355171619897,0.2819673354013301,0.5074349404243843,0.43017398706760596,0.4117717250093394,0.5648032397680022,0.6358214872329411,0.24050006601864873,0.8388969872590909,1.0,0.30383987446879007,0.2991174397440612,1.7116215077989403,1,1
30,1.1870504990850126,1.3436227182127523,0.9989655390576627,1.0508049227601504,1.864895843635616,1.7271618118189398,1.2550178145253958,1.5357022938906777,0.7600346348363543,0.8255746403065376,1.0,0.8598760954948238,0.46064997023131005,1.5961496073388457,0.5535671560092869,0.46913355171619897,0.2819673354013301,0.5074349404243843,0.43017398706760596,0.4117717250093394,0.5648032397680022,0.6358214872329411,0.24050006601864873,0.8388969872590909,1.0,0.30383987446879007,0.2991174397440612,1.7116215077989403,1,1
60,1.2187670185375825,1.3445926057322521,1.0175895701989066,1.029219469023433,1.9845430126035337,2.079841190240074,1.486076277110619,1.4417901018773753,0.7811830272004614,0.8858888019836929,1.0,0.7810813975953411,0.42063002133810556,1.6726518288402747,0.5535671560092869,0.46913355171619897,0.2819673354013301,0.5074349404243843,0.43017398706760596,0.4117717250093394,0.5648032397680022,0.6358214872329411,0.24050006601864873,0.8388969872590909,1.0,0.30383987446879007,0.2991174397440612,1.7116215077989403,1,1
90,1.3320285294360776,1.2516817448540047,1.0670211019557554,0.9586976124698718,1.487806803627572,1.675957816154643,1.2541598709451722,1.3113112413764543,0.7258479628147682,0.9261399531682148,1.0,0.9094599567711772,0.38575185991902394,1.298089913070669,0.5535671560092869,0.46913355171619897,0.2819673354013301,0.5074349404243843,0.43017398706760596,0.4117717250093394,0.5648032397680022,0.6358214872329411,0.24050006601864873,0.8388969872590909,1.0,0.30383987446879007,0.2991174397440612,1.7116215077989403,1,1
120,1.1134436235140859,1.3095857170401937,1.094579587735249,1.0736486024064598,1.3199898169782938,1.5384334110253497,1.407662769532494,1.556729722668785,0.7313109911930393,0.8338998057973241,1.0,1.020103679216421,0.5349335539087096,1.260839549879588,0.5535671560092869,0.46913355171619897,0.2819673354013301,0.5074349404243843,0.43017398706760596,0.4117717250093394,0.5648032397680022,0.6358214872329411,0.24050006601864873,0.8388969872590909,1.0,0.30383987446879007,0.2991174397440612,1.7116215077989403,1,1
