time,AktpS473,AktpT308,Coomassie_staining,ERKpT202_Y204,ER_alpha,FourEBP1pT37_46,GAPDH,IRS1pS636_639,PRAS40pS183,PRAS40pT246,S6KpT229,S6KpT389,TSC2pT1462,p38_pT180_Y182,AktpS473_indep,AktpT308_indep,Coomassie_staining_indep,ERKpT202_Y204_indep,ER_alpha_indep,FourEBP1pT37_46_indep,GAPDH_indep,IRS1pS636_639_indep,PRAS40pS183_indep,PRAS40pT246_indep,S6KpT229_indep,S6KpT389_indep,TSC2pT1462_indep,p38_pT180_Y182_indep,Insulin_indep,AA_indep
0,0.7636355256400162,0.7867983637853105,1.0,0.4517118844622798,0.3794610015021227,0.8096539495909253,0.6339561175094827,0.4488111371739206,0.7940574669827603,0.9817808090106594,0.3746348371162137,0.39657510911363536,1.0128070343280076,1.328014205949925,0.7636355256400162,0.7867983637853105,1.0,0.4517118844622798,0.3794610015021227,0.8096539495909253,0.6339561175094827,0.4488111371739206,0.7940574669827603,0.9817808090106594,0.3746348371162137,0.39657510911363536,1.0128070343280076,1.328014205949925,1,1
15,1.1619487724601103,1.3359735355111553,1.0,4.596662185652819,0.37050690571858624,1.214202978834562,0.606336409189319,0.764278998492523,1.137696131839561,1.114827151868373,0.498271152131353,0.4847377928593073,1.1504276023895903,3.3268436048124035,0.7636355256400162,0.7867983637853105,1.0,0.4517118844622798,0.3794610015021227,0.8096539495909253,0.6339561175094827,0.4488111371739206,0.7940574669827603,0.9817808090106594,0.3746348371162137,0.39657510911363536,1.0128070343280076,1.328014205949925,1,1
30,1.250400516577245,1.3921396133971649,1.0,2.698966224405948,0.3518890893909498,1.2347024342800643,0.6492668523364274,0.8604786667299804,1.1555329473735962,1.105401572200455,0.6368243133282172,0.6121798791696129,1.1524049327618897,1.8829257289892278,0.7636355256400162,0.7867983637853105,1.0,0.4517118844622798,0.3794610015021227,0.8096539495909253,0.6339561175094827,0.4488111371739206,0.7940574669827603,0.9817808090106594,0.3746348371162137,0.39657510911363536,1.0128070343280076,1.328014205949925,1,1
60,1.2877427715579688,1.397470542637477,1.0,0.8582416061097312,0.3529099239274836,1.3395763931874958,0.6962475348455964,0.5481056433190294,1.2968089715556759,1.162977857351311,0.5912056929705185,0.5869964568868287,1.099302839940806,1.0871233054869895,0.7636355256400162,0.7867983637853105,1.0,0.4517118844622798,0.3794610015021227,0.8096539495909253,0.6339561175094827,0.4488111371739206,0.7940574669827603,0.9817808090106594,0.3746348371162137,0.39657510911363536,1.0128070343280076,1.328014205949925,1,1
90,1.2014192084481308,1.2157174585189319,1.0,0.7292364806248615,0.33357913229105085,1.2546925421518644,0.6357910792818429,0.5612288951411458,1.1933979238619878,1.14137489557707,0.49315598159826324,0.5228148418810381,1.0523920897283086,0.944360205433024,0.7636355256400162,0.7867983637853105,1.0,0.4517118844622798,0.3794610015021227,0.8096539495909253,0.6339561175094827,0.4488111371739206,0.7940574669827603,0.9817808090106594,0.3746348371162137,0.39657510911363536,1.0128070343280076,1.328014205949925,1,1
120,1.1355436223019226,1.1516204093193876,1.0,0.8113552667575649,0.36110218755010454,1.2915392494415088,0.849779971687834,0.5760182763396894,1.2565382463723467,1.1783896994085064,0.5792657392996077,0.5494049020358511,1.2524854042606386,0.8861762990971412,0.7636355256400162,0.7867983637853105,1.0,0.4517118844622798,0.3794610015021227,0.8096539495909253,0.6339561175094827,0.4488111371739206,0.7940574669827603,0.9817808090106594,0.3746348371162137,0.39657510911363536,1.0128070343280076,1.328014205949925,1,1
